*
*
*PostDday Ahead Aggregated Generation (B1430) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Quantity,Curve Type,Resolution,SettlementDate,SettelmentPeriod,ActiveFlag,Document ID,Document RevNum
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,18990,Sequential fixed size block,PT30M,2021-05-26,48,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,22927,Sequential fixed size block,PT30M,2021-05-26,47,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,27856,Sequential fixed size block,PT30M,2021-05-26,46,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,28922,Sequential fixed size block,PT30M,2021-05-26,45,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,29499,Sequential fixed size block,PT30M,2021-05-26,44,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,30074,Sequential fixed size block,PT30M,2021-05-26,43,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,30467,Sequential fixed size block,PT30M,2021-05-26,42,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,30910,Sequential fixed size block,PT30M,2021-05-26,41,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,31493,Sequential fixed size block,PT30M,2021-05-26,40,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,32201,Sequential fixed size block,PT30M,2021-05-26,39,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,33108,Sequential fixed size block,PT30M,2021-05-26,38,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,33884,Sequential fixed size block,PT30M,2021-05-26,37,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,34459,Sequential fixed size block,PT30M,2021-05-26,36,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,34563,Sequential fixed size block,PT30M,2021-05-26,35,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,34564,Sequential fixed size block,PT30M,2021-05-26,34,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,34556,Sequential fixed size block,PT30M,2021-05-26,33,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,34409,Sequential fixed size block,PT30M,2021-05-26,32,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,34673,Sequential fixed size block,PT30M,2021-05-26,31,Y,NGET-EMFIP-DAG-06238852,1
Generation forecast,Production,Day Ahead,NGET-EMFIP-DAG-TS-06239172,35019,Sequential fixed size block,PT30M,2021-05-26,30,Y,NGET-EMFIP-DAG-06238852,1
