sp,Aut Wd,Hsr Wd,Smr Wd,Spr Wd,Wtr Wd,avg wd
1,0.31,0.315,0.314,0.338,0.352,0.326
2,0.273,0.287,0.276,0.304,0.313,0.291
3,0.252,0.26,0.256,0.279,0.294,0.268
4,0.236,0.242,0.247,0.258,0.278,0.252
5,0.23,0.234,0.229,0.25,0.266,0.242
6,0.228,0.228,0.221,0.244,0.258,0.236
7,0.224,0.223,0.22,0.239,0.258,0.233
8,0.219,0.222,0.215,0.236,0.255,0.23
9,0.221,0.22,0.217,0.238,0.256,0.231
10,0.226,0.222,0.221,0.245,0.266,0.236
11,0.234,0.23,0.225,0.251,0.276,0.243
12,0.254,0.238,0.238,0.263,0.302,0.259
13,0.302,0.266,0.27,0.308,0.36,0.301
14,0.355,0.304,0.328,0.358,0.418,0.353
15,0.425,0.34,0.37,0.412,0.499,0.409
16,0.477,0.387,0.406,0.462,0.56,0.458
17,0.479,0.415,0.427,0.482,0.581,0.477
18,0.487,0.448,0.451,0.51,0.586,0.496
19,0.484,0.453,0.45,0.512,0.582,0.496
20,0.473,0.456,0.449,0.505,0.574,0.491
21,0.463,0.45,0.444,0.492,0.556,0.481
22,0.45,0.442,0.43,0.488,0.549,0.472
23,0.452,0.443,0.436,0.483,0.539,0.471
24,0.448,0.44,0.438,0.482,0.54,0.47
25,0.46,0.443,0.443,0.485,0.555,0.477
26,0.458,0.439,0.441,0.481,0.557,0.475
27,0.451,0.433,0.423,0.478,0.549,0.466
28,0.436,0.421,0.419,0.465,0.536,0.455
29,0.425,0.407,0.412,0.452,0.532,0.446
30,0.431,0.402,0.41,0.458,0.546,0.45
31,0.438,0.405,0.415,0.456,0.563,0.455
32,0.468,0.417,0.434,0.475,0.606,0.48
33,0.507,0.444,0.459,0.499,0.672,0.516
34,0.554,0.482,0.5,0.543,0.762,0.568
35,0.617,0.538,0.553,0.6,0.856,0.633
36,0.65,0.547,0.564,0.637,0.9,0.659
37,0.683,0.56,0.564,0.649,0.921,0.675
38,0.723,0.569,0.568,0.652,0.907,0.684
39,0.716,0.562,0.557,0.643,0.874,0.671
40,0.709,0.545,0.546,0.649,0.832,0.656
41,0.692,0.553,0.538,0.664,0.801,0.649
42,0.661,0.555,0.533,0.659,0.764,0.634
43,0.634,0.561,0.541,0.655,0.73,0.624
44,0.593,0.548,0.54,0.622,0.689,0.598
45,0.555,0.523,0.524,0.591,0.644,0.568
46,0.496,0.474,0.481,0.532,0.566,0.51
47,0.423,0.415,0.438,0.461,0.487,0.445
48,0.36,0.359,0.377,0.39,0.414,0.38
<EOF>,,,,,,
