Timeslot,Predicted_load_MW,fcfs_load,std_load
1.00,70.87,33.87,53.87
2.00,74.87,33.87,53.87
3.00,72.74,33.74,53.74
4.00,75.74,33.74,53.74
5.00,73.08,33.08,53.08
6.00,71.08,33.08,53.08
7.00,74.39,32.39,52.39
8.00,74.39,32.39,52.39
9.00,71.07,32.07,52.07
10.00,71.07,32.07,52.07
11.00,72.76,31.76,29.76
12.00,72.76,31.76,29.76
13.00,71.18,31.18,29.18
14.00,69.18,31.18,29.18
15.00,72.64,30.64,28.64
16.00,71.64,30.64,28.64
17.00,72.34,30.34,28.34
18.00,69.34,30.34,28.34
19.00,72.49,30.49,28.49
20.00,68.49,30.49,28.49
21.00,68.90,30.90,28.90
22.00,71.90,30.90,28.90
23.00,70.84,31.84,29.84
24.00,71.84,31.84,29.84
25.00,74.15,33.15,31.15
26.00,70.15,33.15,31.15
27.00,72.70,34.70,32.70
28.00,71.70,34.70,32.70
29.00,75.31,80.31,34.31
30.00,75.31,80.31,34.31
31.00,76.85,81.85,35.85
32.00,76.85,81.85,35.85
33.00,77.74,83.74,37.74
34.00,76.74,83.74,37.74
35.00,80.43,85.43,39.43
36.00,80.43,85.43,39.43
37.00,81.47,86.47,62.47
38.00,84.47,86.47,62.47
39.00,85.07,87.07,63.07
40.00,83.07,87.07,41.07
41.00,84.84,87.84,41.84
42.00,84.84,87.84,41.84
43.00,84.40,44.40,64.40
44.00,83.40,44.40,64.40
45.00,85.59,44.59,64.59
46.00,82.59,44.59,64.59
47.00,85.63,44.63,64.63
48.00,84.63,44.63,64.63
49.00,81.49,44.49,42.49
50.00,82.49,44.49,42.49
51.00,85.18,44.18,42.18
52.00,85.18,44.18,42.18
53.00,83.81,43.81,41.81
54.00,84.81,43.81,41.81
55.00,85.53,43.53,41.53
56.00,81.53,43.53,41.53
57.00,85.35,43.35,63.35
58.00,82.35,43.35,63.35
59.00,81.17,43.17,63.17
60.00,80.17,43.17,63.17
61.00,83.22,43.22,63.22
62.00,85.22,43.22,63.22
63.00,81.19,44.19,42.19
64.00,82.19,44.19,42.19
65.00,84.06,46.06,44.06
66.00,84.06,46.06,44.06
67.00,89.48,47.48,45.48
68.00,85.48,47.48,45.48
69.00,87.78,47.78,67.78
70.00,86.78,47.78,67.78
71.00,88.30,47.30,67.30
72.00,85.30,47.30,45.30
73.00,88.49,46.49,44.49
74.00,85.49,46.49,44.49
75.00,83.45,45.45,43.45
76.00,83.45,45.45,43.45
77.00,86.20,44.20,42.20
78.00,81.20,44.20,42.20
79.00,83.29,43.29,41.29
80.00,80.29,43.29,41.29
81.00,81.26,42.26,40.26
82.00,84.26,42.26,40.26
83.00,80.91,40.91,38.91
84.00,80.91,40.91,38.91
85.00,76.65,39.65,37.65
86.00,81.65,39.65,81.65
87.00,79.22,38.22,80.22
88.00,79.22,38.22,80.22
89.00,76.93,36.93,78.93
90.00,76.93,36.93,78.93
91.00,76.61,35.61,77.61
92.00,74.61,35.61,77.61
93.00,72.29,34.29,54.29
94.00,73.29,34.29,32.29
95.00,75.49,33.49,31.49
96.00,74.49,33.49,31.49
