*
*
*Day Ahead Generation forecasts For Wind And Solar Service (B1440) Data
*
*Time Series ID,Business Type,Power System Resource  Type,Settlement Date,Process Type,Settlement Period,Quantity,Document Type,Curve Type,Resolution,Active Flag,Document ID,Document RevNum
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,48,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,48,1292.001,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,48,806.005,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,47,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,47,1292.001,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,47,806.005,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,46,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,46,1302.172,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,46,841.394,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,45,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,45,1302.172,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,45,841.394,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,44,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,44,1345.098,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,44,904.901,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,43,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,43,1345.098,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,43,904.901,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,42,53,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,42,1422.274,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,42,1056.198,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,41,245,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,41,1422.274,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,41,1056.198,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,40,552,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,40,1580.128,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,40,1295.879,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,39,943,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,39,1580.128,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,39,1295.879,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,38,1403,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,38,1788.722,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,38,1502.665,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,37,1920,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,37,1788.722,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,37,1502.665,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,36,2463,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,36,2069.897,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,36,1662.119,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,35,3000,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,35,2069.897,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,35,1662.119,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,34,3522,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,34,2204.199,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,34,1731.723,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,33,4026,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,33,2204.199,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,33,1731.723,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,32,4514,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,32,2363.078,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,32,1792.995,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,31,4981,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,31,2363.078,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,31,1792.995,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,30,5391,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,30,2486.919,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,30,1805.288,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,29,5705,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,29,2486.919,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,29,1805.288,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,28,5938,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,28,2671.279,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,28,1785.379,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,27,6114,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,27,2671.279,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,27,1785.379,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,26,6212,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,26,2798.713,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,26,1800.224,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,25,6198,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,25,2798.713,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,25,1800.224,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,24,6058,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,24,2936.221,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,24,1779.336,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,23,5784,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,23,2936.221,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,23,1779.336,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,22,5413,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,22,3079.967,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
